id,canonicalized_smiles,taste
2130,CC1CC(OC2OC(CO)C(O)C(O)C2O)CC(=O)O1,bitter
2131,COC1C(O)CC(O)OC1C,sweet
2132,CCC(C)C(=O)OC(C)C1(O)CCC2(O)C3CCC4CC(OC5CC(O)C(OC6CC(OC)C(OC7CC(OC)C(OC8CC(OC)C(OC9OC(C)C(O)C(OC)C9O)C(C)O8)C(C)O7)C(C)O6)C(C)O5)CCC4(C)C3CC(OC(C)=O)C12C,sweet
2133,CCCCCCCCCOC1OC(CO)C(O)C(O)C1O,sweet
2134,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,sweet
2135,CC1(C)SCNC1C(=O)O,sour
2136,COc1cc(C=CC(=O)NCCc2ccc(O)c(O)c2)ccc1O,bitter
2137,OC1OC(COCCOCCOCC2OC(O)C(O)C(O)C2O)C(O)C(O)C1O,sweet
2138,CC(=O)CCc1ccc(O)cc1,sweet
2139,O=C(C=Cc1ccc(O)c(O)c1)OC1CC2(O)CC(O)C1OC2=O,bitter
2140,CC(=O)OC(C)(C)Cc1ccccc1,sweet
2141,CC(C)=CCCC(C)=CCOC(=O)c1ccccc1,sweet
2142,OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1Cl,sweet
2143,CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(OC5OC(CO)C(O)C(O)C5O)cc(O)c4c3=O)C(OC3OC(C)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,undefined
2144,COC(=O)C(Cc1ccccc1)NC(=O)CN1CC=CCCN(C(C)=O)CC1=O,sweet
2145,CCOc1ccccc1[Se]CC(=O)O,sour
2146,COC(=O)C(CC(C)C)NC(=O)C(Cc1ccccc1)NC(=O)CN,sweet
2147,CC1OC(OC2C(O)OC(CO)C(O)C2Oc2cc(O)c3c(=O)c4ccc(O)c(O)c4oc3c2)C(O)C(O)C1O,sweet
2148,CC1OC2COC(C)OC2C(C(O)CO)O1,sweet
2149,CCCCCCC(C=O)=Cc1ccccc1,undefined
2150,O=C1NS(=O)(=O)c2c(I)cccc21,sweet
2151,O=c1nc(Cc2ccccc2)[nH]c(O)c1[N+](=O)[O-],sour
2152,CC1OC(OC2COC(CO)C(O)C2O)C(O)C(O)C1O,sweet
2153,O=C(CCc1ccc(O)c(O)c1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O,sweet
2154,Nc1ncnc2c1ncn2C1CC(OP2(=O)O[B]O2)C(CO)O1,sweet
2155,CCCCC(N)C(=O)NC(Cc1ccccc1)C(=O)O,sweet
2156,CC1NC(=O)C2CCCN2C1=O,bitter
2157,CCCCC(CO)C(C)=O,undefined
2158,O=C(O)CC(O)CC(O)C(=O)O,sweet
2159,C=CC1CNC(=S)O1,bitter
2160,CC(=O)Oc1ccc(C(=O)O)cc1,sour
2161,CC(CCC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C(C)(C)O)C1CCC2(C)C3CC=C4C(CCC(OC5OC(CO)C(OC6OC(CO)C(O)C(O)C6O)C(O)C5O)C4(C)C)C3(C)C(O)CC12C,sweet
2162,COC(=O)C1OC(OC2C(OC3CCC4(C)C(CCC5(C)C4CC=C4C6CC(C)(CO)CCC6(C)CCC45C)C3(C)C)OC(C(=O)OC)C(O)C2O)C(O)C(O)C1O,sweet
2163,CCCCC=CCC(=O)OCC,undefined
2164,COP1(=O)OCC2OC(n3cnc4c(N)ncnc43)C(O)C2O1,sweet
2165,CCC(C)C(N)C(=O)NC(CC(N)=O)C(=O)NC(C(=O)NC(Cc1ccccc1)C(=O)O)C(C)CC,sweet
2166,CC(C)CC(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)NC(CC(=O)O)C(=O)O,sweet
2167,CCCCCCCCC(=O)CCc1ccc(O)c(OC)c1,undefined
2168,CCCOC1C(O)OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C1O,sweet
2169,CCCOc1ccc(NC(=O)NC)cc1,sweet
2170,CCCOC1C(C)OC(OC)C(O)C1OCCC,sweet
2171,C=CCCCN(CC(=O)N(CCCC=C)CC(=O)NC(Cc1ccccc1)C(=O)OC)C(C)=O,sweet
2172,CC(=O)C(O)CC(C)C,sour
2173,CC1(C)CCC2(C(=O)OC3OC(CO)C(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(O)C(OC7OCC(O)C(O)C7O)C6O)C(C)(CO)C5CCC43C)C2C1,sweet
2174,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(OC3OCC(O)C(O)C3O)c12,sweet
2175,CCCCCCCCOC1CC(O)C(O)C(CO)O1,sweet
2176,OCC1OC(OCC2OC(OCC3OC(O)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,sweet
2177,CC1CC(OC2OC(CO)C(O)C(O)C2O)C(O)C(C)O1,sweet
2178,CCCCCCCCCCOc1ccc(NC(N)=O)cc1,sweet
2179,O=C(O)CNC(=O)Nc1ccc([N+](=O)[O-])cc1,sweet
2180,COC(=O)c1ccc(O)c(OC)c1,undefined
2181,Nc1ncnc2c1nc(F)n2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,sweet
2182,C=C(C)CCC(C)=O,undefined
2183,O=C(O)c1cc(-c2ccccc2)nc2ccccc12,bitter
2184,NCC(=O)NC(Cc1ccccc1)C(=O)NCC(=O)NC(CC(N)=O)C(=O)O,sweet
2185,CCCCCCCCOC1C(O)C(O)OC(CO)C1O,sweet
2186,O=CC1CCCCC1=O,sour
2187,CC1OC(OC2C(O)C(CO)OC(OC3C(O)C(C(=O)O)OC(OC4CCC5(C)C(CCC6(C)C5CC=C5C7CC(C)(C)C(=O)CC7(CO)C(O)CC56C)C4(C)C)C3OC3OC(CO)C(O)C(O)C3O)C2O)C(O)C(O)C1O,sweet
2188,CC(NC(=Nc1ccc2ccccc2c1)NCC(=O)O)c1ccccc1,sweet
2189,Nc1ncnc2c1ncn2C1OC(COP(O)(=S)S)C(O)C1O,sweet
2190,OCCc1ccc(O)cc1,sweet
2191,OCC1OC(O)C(O)C(O)C1OC1OC(C(O)F)C(O)C(O)C1O,sweet
2192,CCC(C)C(N)C(=O)NC(CC(=O)O)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)O,sweet
2193,[B]P(=O)(OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O)OP(=O)(O)CP(=O)(O)O,sweet
2194,CCC(C)C(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CCCCN)C(=O)O,sweet
2195,NC(CC(=O)O)C(=O)NC(CO)COC(=O)C1CCCC1,sweet
2196,CC(CCC(=O)O)(N(F)F)N(F)F,sour
2197,CC1OC(OC2C(OC3C(OC4CCC5(C)C(CCC6(C)C5CC=C5C7CC(C)(C)CC(O)C7(C)CCC56C)C4(C)CO)OC(C(=O)O)C(O)C3O)OCC(O)C2O)C(O)C(O)C1O,sweet
2198,COC1OC(C)C(O)C(O)C1OC1OC(C)C(O)C(O)C1OC1OC(C)C(O)C(O)C1O,sweet
2199,COc1ccc(-c2cc(=O)c3c(OC4OC(CO)C(O)C(O)C4O)c(OC)c(O)c(OC)c3o2)cc1,sweet
2200,COC1OCC(O)(COC2OC(C)C(O)C(O)C2O)C1O,sweet
2201,OCC1CC(O)C(O)C(O)O1,sweet
2202,CCCCCC(OCCF)OC1OC(CO)C(O)C(O)C1O,sweet
2203,CCCc1ccc([N+](=O)[O-])cc1N,sweet
2204,COc1ccc(-c2cc(=O)c3c(O)c(OC4OC(CO)C(O)C(O)C4OC4OC(C)C(O)C(O)C4O)c(OC)cc3o2)cc1,sweet
2205,COc1cc(O)c(C(=O)C=Cc2ccc(OC3OC(CO)C(O)C(O)C3O)c(OC)c2)c(OC)c1,sweet
2206,COC(=O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CCC5(C(=O)OC)CCC34C)C2(C)C)C(O)C(O)C1O,sweet
2207,CCCCCCCCCCCC,undefined
2208,O=[N+]([O-])OC1C(O)C(CO)OC1(CO)OC1OC(CO)C(O)C(O)C1O,sweet
2209,C=C1CCC2C(=C)C(=O)OC2/C=C(\C)CCC1=O,undefined
2210,O=CC(O)C(O)CC(O)CO,sweet
2211,COC(=O)C1OC(OC2C(O)CC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CCC5(C(=O)O)CCC34C)C2(C)C)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1O,sweet
2212,CCCC(CCOC(C)=O)SC,undefined
2213,CSSSC,undefined
2214,COC(=O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CCC5(C(=O)OC5OC(CO)C(O)C(O)C5O)CCC34C)C2(C)C)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1O,sweet
2215,NC(=O)CC(NC(=O)C(CC(=O)O)NC(=O)C(CC(N)=O)NC(=O)C(N)Cc1ccccc1)C(=O)O,sweet
2216,COC1CC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)C(OC(C)=O)CC43O)C2)OC(C)C1O,bitter
2217,O=S(=O)(O)ON=C(Cc1c[nH]c2ccccc12)SC1OC(CO)C(O)C(O)C1O,bitter
2218,CCOC(=O)C=CC(=O)OCC,undefined
2219,C=CCCCOc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],sweet
2220,COc1ccc(CSc2ccccc2)cc1O,sweet
2221,CC(C)CCOC(=O)CC(S)C(=O)OCCC(C)C,undefined
2222,C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(OC6OC(CO)C(O)C(O)C6O)C5OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(O)C3,sweet
2223,COc1ccc(-c2coc3cc(OC)ccc3c2=O)cc1,bitter
2224,CC1OC(OC2C(O)C(C(=O)O)OC(OC3CCC4(C)C(CCC5(C)C4CC=C4C6CC(C)(C)CCC6(C(=O)OC6OC(CO)C(O)C(O)C6O)CCC45C)C3(C)C)C2OC2OCC(O)C(O)C2O)C(O)C(O)C1O,sweet
2225,CC(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)O,sweet
2226,CC(NC(=O)CNC(=O)C(N)Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)O,sweet
2227,CCOc1nc(=O)c([N+](=O)[O-])c[nH]1,sour
2228,CC1C2CC(O)C3C(C2)(C(=O)OC2CCC(C)(C)C4C(O)OCC243)C1O,bitter
2229,COCC(OC1OC(C)C(O)C(O)C1O)C(O)CO,sweet
2230,CCOC1CC2(CCCO2)OC(CO)C1O,sweet
2231,CC(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)NC(C(=O)O)C(C)C,sweet
2232,CC1=CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C3,sweet
2233,CCC1=C(C)C(=O)NS(=O)(=O)O1,sweet
2234,C=CC=CC=O,undefined
2235,CCCCOc1ccc(NC(=O)N(C)C)cc1,sweet
2236,COC1C(O)OC(COC2OCC(O)C(O)C2O)C(OC)C1OC,sweet
2237,Nc1ncnc2c1nc(NCC[NH3+])n2C1OC2COP(=O)([O-])OC2C1O,sweet
2238,CCOC(CCSC)OCC,undefined
2239,O=CC(O)C(O)C(O)C(O)(CO)CO,sweet
2240,O=C(C=CC=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,undefined
2241,O[CH]C1OC(O)C(O)C(O)C1O,sweet
2242,COC(=O)C1OC(OC2C(O)COC(OC3CCC4(C)C(CCC5(C)C4CC=C4C6CC(C)(C(=O)OC)CCC6(C(=O)OC6OC(CO)C(O)C(O)C6O)CCC45C)C3(C)CO)C2O)C(O)C(O)C1O,sweet
2243,NCCCCC(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet
2244,CC(CCC(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C(C)(C)O)C1CCC2(C)C3CC=C4C(CCC(OC5OC(COC6OC(CO)C(O)C(O)C6O)C(O)C(O)C5O)C4(C)C)C3(C)C(O)CC12C,sweet
2245,CC(O)C(O)C(O)CC1OCCCO1,sweet
2246,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(C)NC(=O)C(N)CC(=O)O)C(=O)O,sweet
2247,CC1OC(OC2(CO)OC(C)C(O)C2O)C(O)C(O)C1O,sweet
2248,C=C1CC23CCC4C(C)(C(=O)OC5OC(COC6OC(O)C(O)C(O)C6CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C3,sweet
2249,CCC(C)C(NC(=O)CN)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)O,sweet
2250,COc1cc(-c2cc(=O)c3c(O)c(OC)c(OC4OC(CO)C(O)C(O)C4O)cc3o2)ccc1O,sweet
2251,CCc1nc(N)c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2n1,sweet
2252,CCCCCCCS,undefined
2253,CC1=CC(=O)CC(C)(C)C1(O)C=CC(C)O,undefined
2254,CC(O)OCC(OC(C)O)C(O)C(O)C(O)CO,sweet
2255,COC(=O)C1OC(OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CCC5(C(=O)O)CCC34C)C2(C)C)C(O)C(OC2OC(COC3OCC(O)C(O)C3O)C(O)C(O)C2O)C1O,sweet
2256,OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1Br,sweet
2257,CCNC(=Nc1ccc(C#N)cc1)NCC(=O)O,sweet
2258,CC(=O)C(C)=Cc1ccccc1,undefined
2259,CC(=O)OCCc1ccccc1,sweet
2260,CC(=O)OC(C)CCC=C(C)C,undefined
2261,CCOCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)OP(=O)(O)OP(=O)(O)O,sweet
2262,NC(=O)c1ccc(NC(=O)NC(CC(=O)O)c2ccccc2)cn1,sweet
2263,OCC1OC(OC2(CO)OC(CO)C(F)C2O)C(O)C(O)C1O,sweet
2264,CC1(C)OC(=O)C=CC2(C)C1CC(O)C1(C)C3=CCC(C4COC(=O)C4)C3(C)CCC21,bitter
2265,CCC=CCCOC(=O)CCCCC,undefined
2266,COc1c(OC2OC(CO)C(O)C(O)C2OC2OC(C)C(O)C(O)C2O)cc2oc(-c3ccc(O)cc3)cc(=O)c2c1O,sweet
2267,Nc1ncnc2c1ncn2C1(P(=O)(O)O)OC(COP(=O)(O)O)C(O)C1O,sweet
2268,COC(=O)c1ccccc1NC=O,undefined
2269,C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(OC6OC(CO)C(OC7OC(CO)C(OC8OC(CO)C(O)C(O)C8O)C(O)C7O)C(O)C6O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C3,sweet
2270,CC(=O)C=Cc1ccco1,sweet
2271,CC1CCC(C(C)C)C(OC(=O)CCC(=O)O)C1,undefined
2272,CCOC1(CO)OC(COC2OC(CO)C(O)C(O)C2O)C(O)C1O,sweet
2273,Cc1cccn2c(=O)c(-c3nn[nH]n3)cnc12,bitter
2274,C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(O)C1O)C3,sweet
2275,OCC(O)COCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,sweet
2276,CCCCCC(O)(O)OC1OCC(O)C(O)C1O,sweet
2277,O=C1C(=Cc2ccco2)C(CO)[n+]2cc([O-])c(Cc3ccco3)cc21,bitter
2278,CCCCCC1C=CC(=O)O1,undefined
2279,CC1CCC2(OC1)OC1CC3C4CC=C5CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7OC7OC(C)C(O)C(O)C7O)C(O)C6O)CCC5(C)C4CCC3(C)C1C2C,bitter
2280,CCC(C)C(=O)OC(C)C1(O)CCC2(O)C3CCC4CC(OC5CC(O)C(OC6CC(OC)C(OC7CC(OC)C(OC8CC(OC)C(OC9OC(C)C(OC%10OC(CO)C(O)C(O)C%10O)C(OC)C9O)C(C)O8)C(C)O7)C(C)O6)C(C)O5)CCC4(C)C3CC(OC(C)=O)C12C,sweet
2281,NCCOP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,sweet
2282,CC1=CCC(C(C)(C)S)CC1,undefined
2283,CC1OC(OC2C(O)C(C)OC(OC(CO)CO)C2O)C(O)C(O)C1O,sweet
2284,CNC(Cc1ccccc1)C(=O)NC(C)C(=O)OC,sweet
2285,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,sweet
2286,COC(OC)C(C)(C)CC=C(C)C,undefined
2287,Cc1ccc(Br)c(O)c(=O)c1Br,sour
2288,CC(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)NC(CC(N)=O)C(=O)O,sweet
2289,O=C(O)[C@@H]1CC[C@H](C(=O)O)[Se]1,sour
2290,CCCC(=O)OCCC(S)CCC,undefined
2291,CC1=CC(O)CC(C)C12CCC(=C(C)C)C2,sweet
2292,CC(NC(=O)C(N)CC(N)=O)C(=O)NC(CCC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet
2293,N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,bitter
2294,CC1(C)CC2C3=CCC4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC4(C)C3(C)CCC2(C(=O)OC2OC(CO)C(O)C(O)C2O)CC1O,sweet
2295,COC1OC(CO)C(OC2OC(CO)C(O)CC2O)C(O)C1O,sweet
2296,C=CCc1cc(OC)c(O)c(OC)c1,sweet
2297,O=C(O)CSc1ccc([N+](=O)[O-])cc1,sour
2298,COC(=O)C12OCC34C(CC5C(C)C(=O)C(OC6OC(CO)C(O)C(O)C6O)=CC5(C)C3C(O)C1O)OC(=O)C(OC(=O)CC(C)(C)O)C24,bitter
2299,CP(=O)(O)OC1CC(n2cnc3c(N)ncnc32)OC1CO,sweet
2300,c1ccc(SSc2ccccc2)cc1,undefined
2301,CC(COC(=O)C1CCC1C)NC(=O)C(N)CC(=O)O,sweet
2302,CCC(C)OCC1OC(OC)C(O)C(O)C1O,sweet
2303,O=C(O)CCc1ccc(O)c(O)c1,sour
2304,CC(=O)NC(CC(C)C)C(=O)NC(Cc1ccccc1)C(=O)O,sweet
2305,OCC1OC(OCC2OC(O)C(O)C2O)C(O)C1O,sweet
2306,O=C1C=CCO1,undefined
2307,COC(C(O)C=O)C(O)C(O)CO,sweet
2308,COCC1CCC=C(C)C1,bitter
2309,OCCC(CO)OC1CCCCO1,sweet
2310,OCCCOCCOCC1OC(OCCOCCCO)C(OCCOCCCO)C(OCCOCCCO)C1OCCOCCCO,sweet
2311,COc1ccc(NCc2ccccc2)cc1O,sweet
2312,CNc1nc(C)nc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,sweet
2313,CCCCCCCCCCCCCCCC(=O)OCC(O)CO,bitter
2314,CCC(C)C(NC(=O)C(N)Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)NC(C(=O)O)C(C)C,sweet
2315,NCCCCC(NC(=O)C(N)Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)O,sweet
2316,Nc1ncnc2c1nc(NCCOP(=O)(O)O)n2C1OC(CO)C(O)C1O,sweet
2317,OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O.[Fe+3].[Fe+3].[O-2].[O-2].[O-2],sweet
2318,CCCCCCOC(=O)C1(C)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,sweet
2319,CCCc1cc(OC)c(O)c(OC)c1,undefined
2320,COc1cc(C2Oc3cc(O)cc(O)c3C(=O)C2O)ccc1OC1OC(CO)C(O)C(O)C1O,sweet
2321,CCCC(=O)OCC(NC(=O)C(N)CC(=O)O)C(C)C,sweet
2322,Cc1n[nH]c(=S)[nH]c1=O,sour
2323,N#Cc1ccc(SCC(=O)O)cc1,sour
2324,COC(=O)C(Cc1ccc(Cc2ccccc2)cc1)NC(=O)C(N)CC(=O)O,sweet
2325,CC(C)c1c(O)ncnc1O,sour
2326,OCC1OC(O)CCC1O,sweet
2327,CNC(Cc1ccccc1)C(=O)NCC(=O)OC,sweet
2328,Cc1nc2c(N)nc(N)nc2n1C1OC(COP(=O)(O)O)C(O)C1O,sweet
2329,Cc1ccccc1OC(=O)c1ccccc1O,undefined
2330,CCOC(=O)CNc1cccc(C(=O)O)c1,sour
2331,CC(C)CC(NC(=O)C(N)CC(N)=O)C(=O)NCC(=O)NC(Cc1ccccc1)C(=O)O,sweet
2332,CC1=C(C)C(=O)NS(=O)(=O)O1,sweet
2333,O=C(CCc1ccc(O)c(OC2OC(CO)C(O)C(O)C2O)c1)c1ccc(O)cc1O,sweet
2334,Nc1ncnc2c1ncn2C1OC(COP(=O)(OP(=O)(O)O)OS(=O)(=O)O)C(O)C1O,sweet
2335,COP(=O)(O)OP(=O)(O)OP(=O)(O)O,sour
2336,CC1OC(Oc2cc(O)cc3oc(-c4ccc(O)c(O)c4)c(O)c(=O)c23)C(O)C(O)C1O,sweet
2337,CC[C@@]1(C(=O)O)C[C@@]1(CC)C(=O)O,sour
2338,CCCOCC1OC(O)C(OCCC)C(O)C1OCCC,sweet
2339,COc1cc(-c2coc3cc(OC4OC(CO)C(O)C(OC5OC(CO)C(O)C(O)C5O)C4O)c(OC)c(O)c3c2=O)cc(O)c1OC,sweet
2340,OCC1OC(OC2C(CF)OC(O)C(O)C2O)C(O)C(O)C1O,sweet
2341,OCC(O)CC(OC1OC(CO)C(O)C(O)C1O)C(O)CO,sweet
2342,OCC1OC(OC2OCC(O)C(O)C2O)C(O)C(O)C1O,sweet
2343,CCCCC=C1OC(=O)C(C)C1C,undefined
2344,CC(=O)Nc1ccc(O)cc1,bitter
2345,CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)OCCO,sweet
2346,COc1cc(-c2cc(=O)c3c(O)c(C4OC(CO)C(O)C(OC5OC(CO)C(O)C(O)C5O)C4O)c(O)cc3o2)ccc1O,sweet
2347,COC(Oc1ccc(C(=O)Cc2ccc3c(c2)OCCO3)c(O)c1)C(O)C(O)C(C)O,sweet
2348,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,bitter
2349,O=c1[nH]sc2ccc(F)cc12,sweet
2350,CC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)C(N)CCCCN)C(=O)O,sweet
2351,CCC=CCCCCOC(C)=O,undefined
2352,CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(OC7OCC(O)C(O)C7O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,sweet
2353,CC12CC(c3ccoc3)OC(=O)C1CCC1(C)C2C2OC(=O)C1(O)C1OC21,bitter
2354,CC(C)COc1ccc([N+](=O)[O-])cc1N,sweet
2355,CS(=O)CC(N)C(=O)O,undefined
2356,CC(=O)OC1CC(C)(C(=O)O)CC2C3=CCC4C5(C)CCC(C6OC(C(=O)O)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6OC6OC(C)C(O)C(O)C6O)C(C)(CO)C5CCC4(C)C3(C)CCC12C,sweet
2357,OCC(O)COCC1(OC2OC(CO)C(O)C(O)C2O)OC(CO)C(O)C1O,sweet
2358,CC(C)OC(=O)CCCCC(=O)OC(C)C,sour
2359,CC1OCC(O)C(C(O)C(C)O)O1,sweet
2360,COc1ccc(C(C)=O)c(OC2OC(COC3OCC(O)C(O)C3O)C(OC(=O)c3cc(O)c(O)c(O)c3)C(O)C2O)c1,sweet
2361,CC1OC(n2cnc3c(N)ncnc32)C(OP(=O)(O)O)C1O,sweet
2362,CC(O)C(O)CC(O)C(C)O,sweet
2363,COC(=O)c1cc(O)c(O)c(O)c1CN(C)C,sour
2364,CCCCCC(C)C(=O)O,undefined
2365,CC(C)CC(NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(C)C)C(=O)O,sweet
2366,C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(OC6OC(CO)C(O)C(O)C6O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C3,sweet
2367,CC(N)C(=O)NC(CCCCN)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)O,sweet
2368,COC(O)C1OC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,sweet
2369,OCC(O)CCCOC1OCC(O)C(O)C1O,sweet
2370,COc1ccc(-c2cc(=O)c3ccc(OC4OC(CO)C(O)C(OC5OC(CO)C(O)C(O)C5O)C4O)c(OC)c3o2)cc1,sweet
2371,CC1(C)CC(O)C2(COC3OC(CO)C(O)C(O)C3O)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,sweet
2372,CCC(=O)Oc1c(C)occc1=O,sweet
2373,O=C(C=Cc1ccc(O)cc1)c1ccc(O)cc1O,bitter
2374,NC(=O)CC(NC(=O)C(CC(=O)O)NC(=O)C(N)CO)C(=O)NC(Cc1ccccc1)C(=O)O,sweet
2375,CC(=CCCC1(C)C2CC3C(C2)C31C)CO,undefined
2376,O=C(CCc1ccc(O)c(O)c1)c1c(O)cc(OC2OC(CO)C(O)C(O)C2O)cc1O,sweet
2377,CC(C)=CCC1C(=O)C(C(=O)CC(C)C)=C(O)C1(O)C(=O)C=CC(C)(C)OO,bitter
2378,CCOC1C(O)OC(O)C(OCC)C1OCC,sweet
2379,CCC1=CCCC(C)(C)C12C=CC(C)O2,undefined
2380,CCCCC[PH](=O)O,sour
2381,CC1OC(C)OC(C)O1,sweet
2382,CC(=O)c1ccccc1C(=O)O,sour
2383,CC(C)C(N)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCCN)C(=O)O,sweet
2384,CC(C)(C)OCCOc1ccc([N+](=O)[O-])cc1N,sweet
2385,COc1ccc(-c2cc(=O)c3c(O)cc(OC4OC(CO)C(OC5OCC(O)C(O)C5O)C(O)C4O)cc3o2)cc1O,sweet
2386,NC(=O)CC(NC(=O)C(CC(=O)O)NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(=O)O,sweet
2387,COc1ccc2c(c1OC)C(=O)OC2C1c2cc3c(cc2CCN1C)OCO3,bitter
2388,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,bitter
2389,OCC(CO)OC1OCC(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,sweet
2390,CC(C)C(=O)OCC(CO)NC(=O)C(N)CC(=O)O,sweet
